city1,city2,actual_fare,predicted_fare,pct_diff,suggested_alternatives
"Dallas/Fort Worth, TX","Des Moines, IA",313.61,269.61334562301636,0.16318426031662933,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Hartford, CT",362.01,310.40587209165096,0.16624726703982037,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Richmond, VA",338.92,293.27523708343506,0.15563797124671422,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Knoxville, TN",357.13,297.32364094257355,0.20114902019842318,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Grand Rapids, MI",293.41,250.63060784339905,0.17068702232622254,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Fort Myers, FL",319.1,275.68076983094215,0.15749821866677235,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",382.01,330.97533333301544,0.1541947738311825,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Fort Myers, FL",346.48,291.8237775564194,0.18729187491589425,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",370.74,310.73920994997025,0.19309050203123718,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Reno, NV",361.32,304.9168247580528,0.18497888821550693,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Dallas/Fort Worth, TX","Grand Rapids, MI",329.1,284.3226406574249,0.1574878428219387,"New York City, NY (Metropolitan Area);Seattle, WA;Seattle, WA"
"Denver, CO","Palm Springs, CA",271.6,234.65233445167542,0.1574570550711212,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Hartford, CT",315.37,273.2526657432318,0.1541332968965242,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Detroit, MI",265.37,230.19682486355305,0.15279609159377205,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Kansas City, MO",194.8,161.17884677648544,0.20859532063868566,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Milwaukee, WI",232.13,185.9173126220703,0.2485658098547825,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Grand Rapids, MI",218.65,179.7321218252182,0.2165326808561676,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Louisville, KY",262.53,220.94760131835938,0.1882002720714097,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Richmond, VA",333.14,282.0793490409851,0.18101520417078087,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Portland, ME",357.18,306.80321940779686,0.16419899598655552,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Fargo, ND",187.09,108.12539698183537,0.7303057858962624,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Pensacola, FL",263.7,214.34772571921349,0.23024398376606015,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Louisville, KY",294.34,241.4101104736328,0.2192529940959049,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Denver, CO","Pensacola, FL",218.03,179.49620497226715,0.21467749155859017,"New York City, NY (Metropolitan Area);Orlando, FL;Miami, FL (Metropolitan Area)"
"Des Moines, IA","Miami, FL (Metropolitan Area)",255.95,208.7671303898096,0.2260071761397046,"Punta Gorda, FL;Punta Gorda, FL;Las Vegas, NV"
"Detroit, MI","San Francisco, CA (Metropolitan Area)",437.7,375.67664064466953,0.16509772672822293,"Las Vegas, NV;Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Detroit, MI","Salt Lake City, UT",407.61,340.83124992251396,0.19592907074297858,"Las Vegas, NV;Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Detroit, MI","West Palm Beach/Palm Beach, FL",371.93,319.4936622977257,0.16412324840863549,"Las Vegas, NV;Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Eugene, OR","Phoenix, AZ",195.18,151.70516358315945,0.2865745330613561,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Eugene, OR","Phoenix, AZ",196.48,161.4623233526945,0.21687831513989606,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Eugene, OR","Phoenix, AZ",211.28,172.56476989388466,0.2243518774424381,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Everett, WA","Los Angeles, CA (Metropolitan Area)",205.0,172.8755121231079,0.1858243974659386,"Phoenix, AZ;Phoenix, AZ;Phoenix, AZ"
"Fargo, ND","Las Vegas, NV",213.08,174.21122282743454,0.22311293464180007,"Phoenix, AZ;Phoenix, AZ;Phoenix, AZ"
"Fayetteville, AR","New York City, NY (Metropolitan Area)",364.19,305.6637141406536,0.19147279559789374,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Fayetteville, AR","Los Angeles, CA (Metropolitan Area)",362.02,304.71525026857853,0.18805999923178304,"New York City, NY (Metropolitan Area);New York City, NY (Metropolitan Area);New York City, NY (Metropolitan Area)"
"Flint, MI","Tampa, FL (Metropolitan Area)",136.86,117.86015391349792,0.16120669671318097,"Sarasota/Bradenton, FL;Sarasota/Bradenton, FL;Sanford, FL"
"Flint, MI","Tampa, FL (Metropolitan Area)",118.09,100.844064950943,0.17101586550925468,"Sarasota/Bradenton, FL;Sarasota/Bradenton, FL;Sanford, FL"
"Fort Myers, FL","Las Vegas, NV",339.09,254.88982111215591,0.33033951108936016,"New Haven, CT;New Haven, CT;Seattle, WA"
"Fort Myers, FL","Los Angeles, CA (Metropolitan Area)",424.8,360.16622614860535,0.1794553990876608,"New Haven, CT;New Haven, CT;Seattle, WA"
"Fort Myers, FL","Las Vegas, NV",301.9,248.96981701254845,0.2125967863196195,"New Haven, CT;New Haven, CT;Seattle, WA"
"Fort Myers, FL","San Francisco, CA (Metropolitan Area)",378.73,322.1656509786844,0.1755753564958981,"New Haven, CT;New Haven, CT;Seattle, WA"
