city1,city2,median_pred,median_dist,n,pred_per_mile
"Minneapolis/St. Paul, MN","Salt Lake City, UT",275.46298448741436,991.0,14,0.27796466648578644
"Atlanta, GA (Metropolitan Area)","Hartford, CT",238.85396593809128,859.0,14,0.2780604958534241
"Houston, TX","West Palm Beach/Palm Beach, FL",265.9206379055977,956.0,2,0.27815966308116913
"Buffalo, NY","Minneapolis/St. Paul, MN",204.45272997021675,735.0,2,0.2781669795513153
"Atlanta, GA (Metropolitan Area)","Austin, TX",226.52673786878586,813.0,14,0.27863067388534546
"Kansas City, MO","Raleigh/Durham, NC",251.89961409568787,904.0,6,0.2786500155925751
"Dallas/Fort Worth, TX","Denver, CO",182.02326321601868,651.0,14,0.2796056270599365
"Atlanta, GA (Metropolitan Area)","Portland, ME",287.5005930662155,1027.0,4,0.2799421548843384
"Columbus, OH","Dallas/Fort Worth, TX",259.87866175174713,926.0,14,0.28064650297164917
"St. Louis, MO","Washington, DC (Metropolitan Area)",207.1766792535782,738.0,14,0.28072720766067505
"Indianapolis, IN","New York City, NY (Metropolitan Area)",197.0796933621168,701.0,14,0.2811407893896103
"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",167.0903992652893,594.0,14,0.281296968460083
"Bozeman, MT","Minneapolis/St. Paul, MN",246.52878579497337,874.0,4,0.2820695489645004
"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",188.08828255534172,666.0,14,0.28241483867168427
"Denver, CO","Phoenix, AZ",170.31034243106842,602.0,14,0.28290754556655884
"Dallas/Fort Worth, TX","Palm Springs, CA",322.42129991948605,1137.0,6,0.2835719436407089
"Myrtle Beach, SC","Philadelphia, PA",134.13961538672447,473.0,7,0.2835932672023773
"Chicago, IL","Panama City, FL",229.99689370393753,810.0,1,0.28394678235054016
"Austin, TX","St. Louis, MO",204.80303870141506,721.0,14,0.28405414521694183
"Hartford, CT","Raleigh/Durham, NC",151.30633395910263,532.0,6,0.28441040217876434
"Denver, CO","Reno, NV",228.92428761720657,804.0,14,0.2847317010164261
"Boston, MA (Metropolitan Area)","Charlotte, NC",209.94085358083248,737.0,14,0.28485868871212006
"Sacramento, CA","San Diego, CA",136.85487270355225,480.0,14,0.2851143181324005
"Charleston, SC","Dallas/Fort Worth, TX",281.423495426774,987.0,14,0.28513018786907196
"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",208.93051485717297,731.0,14,0.28581465780735016
"Nashville, TN","Sarasota/Bradenton, FL",185.4023208618164,648.0,7,0.2861146926879883
"Dallas/Fort Worth, TX","Fort Myers, FL",291.36647593975067,1017.0,14,0.28649604320526123
"Charlotte, NC","Minneapolis/St. Paul, MN",266.7118714749813,930.0,14,0.2867869585752487
"Kansas City, MO","Philadelphia, PA",298.5831325650215,1038.0,14,0.2876523435115814
"Denver, CO","Des Moines, IA",170.18356968462467,589.0,14,0.28893645107746124
"Austin, TX","Charlotte, NC",298.363693356514,1032.0,14,0.2891121059656143
"Bozeman, MT","Los Angeles, CA (Metropolitan Area)",263.01562935113907,908.0,14,0.28966479003429413
"Detroit, MI","Sarasota/Bradenton, FL",297.0498841404915,1022.0,4,0.2906554639339447
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",320.38133949041367,1102.0,13,0.2907271683216095
"El Paso, TX","Los Angeles, CA (Metropolitan Area)",207.90424294769764,715.0,14,0.2907751649618149
"Jacksonville, FL","Philadelphia, PA",216.21048572659492,742.0,14,0.2913887947797775
"Miami, FL (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",237.07268238067627,812.0,14,0.2919614315032959
"Charleston, SC","Houston, TX",271.08587551116943,928.0,13,0.2921184003353119
"Sacramento, CA","Seattle, WA",176.7341474443674,605.0,14,0.292122557759285
"Chicago, IL","Jacksonville, FL",252.84224796295166,864.0,14,0.2926414906978607
"Chicago, IL","Philadelphia, PA",199.04714611172676,678.0,14,0.2935798615217209
"Denver, CO","El Paso, TX",165.3176855444908,563.0,14,0.29363709688186646
"Hartford, CT","Nashville, TN",250.90584361553192,852.0,11,0.29449042677879333
"Dallas/Fort Worth, TX","Savannah, GA",273.475731164217,925.0,14,0.2956494390964508
"Key West, FL","Washington, DC (Metropolitan Area)",310.5101890861988,1050.0,4,0.2957239896059036
"Oklahoma City, OK","Phoenix, AZ",247.37739597260952,833.0,14,0.2969716638326645
"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",269.4793838262558,907.0,14,0.2971106767654419
"Kansas City, MO","Salt Lake City, UT",273.6286574602127,920.0,14,0.29742245376110077
"Minneapolis/St. Paul, MN","Nashville, TN",206.9913636147976,695.0,14,0.2978293001651764
"Chicago, IL","Norfolk, VA (Metropolitan Area)",213.5524546802044,717.0,14,0.2978416383266449
"Colorado Springs, CO","Phoenix, AZ",164.11324693262577,551.0,14,0.297846183180809
"Burlington, VT","Chicago, IL",227.38265825808048,763.0,2,0.29801134765148163
"Dallas/Fort Worth, TX","Jacksonville, FL",274.27315405011177,918.0,14,0.29877249896526337
"Houston, TX","Indianapolis, IN",257.6193712502718,861.0,14,0.29920949041843414
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",202.76039265096188,677.0,14,0.2994983643293381
"Eagle, CO","New York City, NY (Metropolitan Area)",523.109284132719,1746.0,4,0.2996044009923935
"Nashville, TN","San Antonio, TX",246.37029665708542,822.0,14,0.29972055554389954
"El Paso, TX","Las Vegas, NV",175.30131164193153,583.0,14,0.30068835616111755
"Houston, TX","Savannah, GA",259.0046725869179,853.0,5,0.3036397099494934
"Chicago, IL","Pensacola, FL",241.33417963981628,794.0,13,0.3039473295211792
"Nashville, TN","Orlando, FL",187.49123215675354,616.0,14,0.30436888337135315
"Nashville, TN","Philadelphia, PA",206.04447685182095,675.0,14,0.3052510768175125
"Charleston, SC","Chicago, IL",232.2732949256897,760.0,14,0.30562275648117065
"Austin, TX","Kansas City, MO",199.21574220061302,650.0,14,0.30648575723171234
"Chicago, IL","Savannah, GA",237.38645547628403,773.0,14,0.3070976138114929
"Houston, TX","Omaha, NE",247.08150511980057,804.0,14,0.30731530487537384
"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC",192.40365363657475,625.0,14,0.3078458458185196
"Cincinnati, OH","Dallas/Fort Worth, TX",250.66861897706985,812.0,14,0.3087051957845688
"Chicago, IL","Hartford, CT",241.9413064867258,783.0,14,0.30899272859096527
"Dallas/Fort Worth, TX","Greensboro/High Point, NC",309.18613225221634,999.0,3,0.30949562788009644
"Dallas/Fort Worth, TX","Grand Rapids, MI",288.5644294768572,931.0,14,0.309951052069664
"Denver, CO","Palm Springs, CA",240.71198987960815,776.0,11,0.3101958632469177
"Portland, OR","San Francisco, CA (Metropolitan Area)",176.7179937362671,569.0,14,0.3105764389038086
"Dallas/Fort Worth, TX","Milwaukee, WI",265.39813719689846,853.0,14,0.3111349791288376
"Phoenix, AZ","Sacramento, CA",201.39864026010036,647.0,14,0.3112807422876358
"Valparaiso, FL","Washington, DC (Metropolitan Area)",255.01877903938293,819.0,13,0.31137824058532715
"New Orleans, LA","Orlando, FL",171.7057547867298,551.0,14,0.3116256892681122
"Atlanta, GA (Metropolitan Area)","Chicago, IL",189.2356293797493,606.0,14,0.31227001547813416
"San Antonio, TX","St. Louis, MO",245.55679920315742,786.0,12,0.3124132305383682
"San Francisco, CA (Metropolitan Area)","Tucson, AZ",235.0222159922123,751.0,14,0.312945693731308
"Chicago, IL","Washington, DC (Metropolitan Area)",194.69601526856422,622.0,14,0.3130161017179489
"Nashville, TN","Tampa, FL (Metropolitan Area)",191.58687472343445,612.0,14,0.31305044889450073
"Key West, FL","Philadelphia, PA",351.12121722102165,1121.0,4,0.31322142481803894
"Orlando, FL","Raleigh/Durham, NC",167.27038630843163,534.0,14,0.3132404237985611
"Denver, CO","Fayetteville, AR",193.16622936725616,616.0,2,0.31358154118061066
"Boston, MA (Metropolitan Area)","Louisville, KY",260.90676283836365,829.0,9,0.3147246837615967
"Houston, TX","Louisville, KY",253.1190023124218,803.0,13,0.31521669030189514
"Santa Rosa, CA","Seattle, WA",194.83283060789108,618.0,2,0.3152634799480438
"Jacksonville, FL","Washington, DC (Metropolitan Area)",209.16914382576942,663.0,14,0.31548890471458435
"Raleigh/Durham, NC","Tampa, FL (Metropolitan Area)",185.2983940988779,587.0,14,0.3156701773405075
"Des Moines, IA","Washington, DC (Metropolitan Area)",287.7855169773102,910.0,11,0.316247820854187
"Little Rock, AR","Washington, DC (Metropolitan Area)",288.9554100036621,912.0,3,0.3168370723724365
"Philadelphia, PA","St. Louis, MO",258.1878861486912,814.0,14,0.31718413531780243
"Kansas City, MO","San Antonio, TX",224.04139930009842,706.0,4,0.31733909249305725
"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",187.33961775898933,590.0,14,0.3175247758626938
"Dallas/Fort Worth, TX","Indianapolis, IN",242.4994140267372,761.0,14,0.31865888833999634
"El Paso, TX","Houston, TX",215.94179871678352,677.0,14,0.31896868348121643
"Milwaukee, WI","Washington, DC (Metropolitan Area)",204.5290256291628,641.0,14,0.3190780431032181
"Salt Lake City, UT","Seattle, WA",220.28832231462002,689.0,14,0.3197218030691147
"Louisville, KY","New York City, NY (Metropolitan Area)",223.71641944348812,699.0,14,0.3200521022081375
"Atlanta, GA (Metropolitan Area)","Rochester, NY",240.02587309479713,749.0,5,0.32046177983283997
"Memphis, TN","Tampa, FL (Metropolitan Area)",211.00633174180984,655.0,3,0.32214707136154175
"Sacramento, CA","Spokane, WA",209.53367556631565,649.0,12,0.32285620272159576
"Albany, NY","Chicago, IL",233.5294840335846,723.0,11,0.3230006694793701
"Charlotte, NC","Miami, FL (Metropolitan Area)",210.46082600951195,650.0,14,0.3237858861684799
"Boise, ID","Las Vegas, NV",168.1835866123438,519.0,14,0.32405315339565277
"Chicago, IL","Raleigh/Durham, NC",209.39396661520004,646.0,14,0.324139267206192
"Birmingham, AL","New York City, NY (Metropolitan Area)",292.4163474738598,902.0,14,0.32418663799762726
"Albuquerque, NM","Houston, TX",246.22179999947548,759.0,14,0.32440289855003357
"Boise, ID","Denver, CO",210.65562030673027,649.0,14,0.3245849311351776
"Bozeman, MT","San Francisco, CA (Metropolitan Area)",262.345710799098,807.0,10,0.32508762180805206
"Atlanta, GA (Metropolitan Area)","Buffalo, NY",231.47633838653564,712.0,14,0.325107216835022
"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",195.05848966538906,599.0,14,0.3256402164697647
"Houston, TX","Knoxville, TN",255.27186679840088,782.0,5,0.3264346122741699
"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",180.9584333896637,554.0,14,0.3266397714614868
"Houston, TX","St. Louis, MO",224.68144619464874,687.0,14,0.3270472288131714
"Denver, CO","Tucson, AZ",209.5364934504032,639.0,14,0.3279131352901459
"Chicago, IL","Oklahoma City, OK",227.36030638217926,693.0,14,0.32808125019073486
"Memphis, TN","Washington, DC (Metropolitan Area)",258.8216152340174,787.0,14,0.3288711756467819
"Pensacola, FL","Washington, DC (Metropolitan Area)",278.3541795909405,846.0,14,0.3290238529443741
"Asheville, NC","New York City, NY (Metropolitan Area)",203.01706758141518,617.0,13,0.3290390074253082
"Fort Myers, FL","Nashville, TN",237.95335599780083,722.0,10,0.3295752853155136
"Albany, NY","Atlanta, GA (Metropolitan Area)",281.50456492602825,853.0,8,0.3300170749425888
"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",190.53147968649864,577.0,14,0.33021053671836853
"Houston, TX","Jacksonville, FL",270.07421481609344,817.0,14,0.33056819438934326
"Jacksonville, FL","Norfolk, VA (Metropolitan Area)",180.5568682551384,546.0,8,0.3306902348995209
"Atlanta, GA (Metropolitan Area)","Omaha, NE",272.00076654553413,821.0,14,0.3313042223453522
"Atlanta, GA (Metropolitan Area)","Syracuse, NY",263.27178543806076,794.0,11,0.33157655596733093
"San Diego, CA","San Francisco, CA (Metropolitan Area)",148.33685329556465,447.0,14,0.3318497836589813
"Kansas City, MO","New Orleans, LA",228.76236495375633,689.0,11,0.3320208489894867
"Atlanta, GA (Metropolitan Area)","Detroit, MI",197.46454712748528,594.0,14,0.332431897521019
"Boston, MA (Metropolitan Area)","Indianapolis, IN",272.1974290907383,818.0,14,0.33275969326496124
"Cincinnati, OH","New York City, NY (Metropolitan Area)",208.46933636069298,626.0,14,0.33301810920238495
"Detroit, MI","Jacksonville, FL",271.84631288051605,813.0,14,0.3343743085861206
"Houston, TX","Nashville, TN",224.05380934476852,670.0,14,0.3344086706638336
"Dallas/Fort Worth, TX","Louisville, KY",245.8960736989975,733.0,14,0.33546531200408936
"Dallas/Fort Worth, TX","Panama City, FL",230.1159217953682,685.0,11,0.33593565225601196
"Boston, MA (Metropolitan Area)","Detroit, MI",212.36775267124176,632.0,14,0.3360249251127243
"Dallas/Fort Worth, TX","Tucson, AZ",278.8489968776703,824.0,14,0.3384089767932892
"Salt Lake City, UT","San Diego, CA",212.22957894206047,626.0,14,0.3390248864889145
"Knoxville, TN","New York City, NY (Metropolitan Area)",226.29804909229279,665.0,14,0.3402978181838989
"Atlanta, GA (Metropolitan Area)","Oklahoma City, OK",258.9836606532335,761.0,14,0.3403201848268509
"Boston, MA (Metropolitan Area)","Cincinnati, OH",256.04913997650146,752.0,14,0.3404908776283264
